run_id	group	n	mean	p10	p50	p90	sum_notional	wmean_markout	markout_cost
flow_base_thrP95__20251221_0737	ask|sv>+thr	47	-0.0404255	-0.34	0	0.04	13036.9	-0.0663833	-865.431
flow_base_thrP95__20251221_0737	ask|sv<-thr	12	-0.0541667	-0.295	0	0.09	1544.92	-0.0970042	-149.864
flow_base_thrP95__20251221_0737	bid|sv<-thr	19	-0.00789474	-0.2	0	0.26	5654.21	-0.00793444	-44.863
flow_base_thrP95__20251221_0737	bid|sv>+thr	26	0.0807692	0	0	0.45	4774.78	0.106093	506.572
flow_base_thrP95__20251221_0807	ask|sv>+thr	35	-5.19711e-14	-0.22	0	0.1	9466.74	-0.031668	-299.793
flow_base_thrP95__20251221_0807	ask|sv<-thr	21	-0.0166667	-0.25	0	0.1	2505.8	-0.0299582	-75.0694
flow_base_thrP95__20251221_0807	bid|sv<-thr	49	0.0234694	-0.12	0	0.21	14586.9	0.0234528	342.104
flow_base_thrP95__20251221_0807	bid|sv>+thr	22	0.1	0	0	0.49	4139.68	0.0958398	396.747
flow_base_thrP95__20251221_0837	ask|sv>+thr	43	0.0325581	-0.1	0	0.18	11113.3	0.0104617	116.264
flow_base_thrP95__20251221_0837	ask|sv<-thr	25	0.008	-0.12	0	0.13	3425.7	0.0054393	18.6334
flow_base_thrP95__20251221_0837	bid|sv<-thr	61	0.0204918	-0.1	0	0.2	18154.9	0.020471	371.648
flow_base_thrP95__20251221_0837	bid|sv>+thr	25	0.056	0	0	0.32	4837.3	0.0531236	256.975
flow_base_thrP95__20251221_0907	ask|sv>+thr	49	0.0142857	-0.4	0	0.3	12580	-0.00243008	-30.5705
flow_base_thrP95__20251221_0907	ask|sv<-thr	36	0.138889	-0.7	0	0.35	4236.08	-0.0400282	-169.562
flow_base_thrP95__20251221_0907	bid|sv<-thr	78	0.0192308	-0.23	0	0.43	22966	0.0219575	504.276
flow_base_thrP95__20251221_0907	bid|sv>+thr	26	0.0346154	-0.15	0	0.2	5764.89	0.0465875	268.572
flow_base_thrP95__20251221_0937	ask|sv>+thr	48	0.0125	-0.4	0	0.36	12955.3	0.0183909	238.26
flow_base_thrP95__20251221_0937	ask|sv<-thr	39	0.132051	-0.4	0	0.24	4611.4	-0.0252719	-116.539
flow_base_thrP95__20251221_0937	bid|sv<-thr	85	0.0264706	-0.26	0	0.46	25039.6	0.0290059	726.295
flow_base_thrP95__20251221_0937	bid|sv>+thr	22	0.0545455	-0.19	0	0.29	4638.77	0.051438	238.609
flow_base_thrP95__20251221_1007	ask|sv>+thr	60	-0.0283333	-0.41	0	0.3	16508.9	-0.0269099	-444.252
flow_base_thrP95__20251221_1007	ask|sv<-thr	29	0.172414	-1.28	0	0.61	3051.94	-0.0542485	-165.563
flow_base_thrP95__20251221_1007	bid|sv<-thr	53	0.0745283	-0.4	0	1.14	15506	0.0792506	1228.86
flow_base_thrP95__20251221_1007	bid|sv>+thr	27	0.0444444	-0.2	0	0.24	5563.91	0.0377965	210.296
flow_base_thrP95__20251221_1037	ask|sv>+thr	49	-0.0428571	-0.42	0	0.32	13965.6	-0.0403032	-562.859
flow_base_thrP95__20251221_1037	ask|sv<-thr	27	0.187037	-1.36	0	0.82	2455.72	-0.0408311	-100.27
flow_base_thrP95__20251221_1037	bid|sv<-thr	45	0.0655556	-0.4	0	1.2	13125	0.0710005	931.884
flow_base_thrP95__20251221_1037	bid|sv>+thr	23	0.0478261	-0.2	0	0.28	5323.6	0.0338925	180.43
flow_base_thrP95__20251221_1107	ask|sv>+thr	45	-0.0244444	-0.2	0	0.16	12860	-0.0253784	-326.366
flow_base_thrP95__20251221_1107	ask|sv<-thr	15	0.0466667	0	0	0.16	1775.8	0.079757	141.632
flow_base_thrP95__20251221_1107	bid|sv<-thr	24	0.0979167	-0.24	0	0.24	7123.31	0.0975919	695.177
flow_base_thrP95__20251221_1107	bid|sv>+thr	18	-0.00277778	-0.2	0	0.13	4206.15	-0.0265144	-111.524
flow_base_thrP95__20251221_1137	ask|sv>+thr	39	-0.0692308	-0.22	0	0.02	11083.2	-0.0722927	-801.232
flow_base_thrP95__20251221_1137	ask|sv<-thr	15	-0.0233333	-0.1	0	0.2	1597.19	0.0889917	142.137
flow_base_thrP95__20251221_1137	bid|sv<-thr	19	0.0789474	-0.22	0	0.14	5642.84	0.0785924	443.484
flow_base_thrP95__20251221_1137	bid|sv>+thr	14	0.0107143	0	0	0.085	3618.67	-0.00299913	-10.8529
flow_base_thrP95__20251221_1207	ask|sv>+thr	27	-0.0222222	-0.2	0	0.04	7525.77	-0.0236443	-177.941
flow_base_thrP95__20251221_1207	ask|sv<-thr	14	-0.00714286	-0.1	0	0.27	1464.38	0.104632	153.221
flow_base_thrP95__20251221_1207	bid|sv<-thr	15	-0.0733333	-0.26	0	0.06	4458.34	-0.0733415	-326.981
flow_base_thrP95__20251221_1207	bid|sv>+thr	10	-0.005	-0.02	0	0.055	2855.57	-0.00523468	-14.948
flow_base_thrP95__20251221_1237	ask|sv>+thr	19	-0.0263158	-0.22	0	0.02	5149.25	-0.0287949	-148.272
flow_base_thrP95__20251221_1237	ask|sv<-thr	11	-0.0272727	-0.1	0	0.2	992.931	0.0690536	68.5654
flow_base_thrP95__20251221_1237	bid|sv<-thr	9	0.0111111	-0.12	0	0.08	2676.25	0.0111002	29.707
flow_base_thrP95__20251221_1237	bid|sv>+thr	8	-0.03125	-0.09	0	0.015	1721.14	0.00209437	3.6047
flow_base_thrP95__20251221_1307	ask|sv>+thr	8	-0.0875	-0.5	0	0.22	2301.16	-0.0732673	-168.6
flow_base_thrP95__20251221_1307	ask|sv<-thr	12	-0.05	-0.09	0	0.19	1248.48	-0.0166544	-20.7926
flow_base_thrP95__20251221_1307	bid|sv<-thr	12	0.0166667	-0.19	0	0.27	3568.35	0.0166475	59.404
flow_base_thrP95__20251221_1307	bid|sv>+thr	6	0.0333333	-0.15	0	0.25	1107	0.103188	114.229
flow_base_thrP95__20251221_1337	ask|sv>+thr	15	-0.0366667	-0.32	0	0.12	4383.6	-0.0283031	-124.069
flow_base_thrP95__20251221_1337	ask|sv<-thr	9	0.0555556	0	0	0.2	1076.77	0.06757	72.7573
flow_base_thrP95__20251221_1337	bid|sv<-thr	11	0.0454545	0	0	0.3	3270.94	0.0454453	148.649
flow_base_thrP95__20251221_1337	bid|sv>+thr	5	0.04	-0.18	0	0.3	819.908	0.13932	114.229
flow_base_thrP95__20251221_1407	ask|sv>+thr	17	-0.0323529	-0.23	0	0.08	4978.61	-0.0249205	-124.069
flow_base_thrP95__20251221_1407	ask|sv<-thr	9	0.0222222	0	0	0.04	1316.62	0.0451626	59.462
flow_base_thrP95__20251221_1407	bid|sv<-thr	13	0.0384615	0	0	0.24	3866.12	0.0384491	148.649
flow_base_thrP95__20251221_1407	bid|sv>+thr	5	0.04	-0.18	0	0.3	819.908	0.13932	114.229
flow_base_thrP95__20251221_1437	ask|sv>+thr	21	-0.0357143	-0.2	0	0	5635.68	-0.023113	-130.257
flow_base_thrP95__20251221_1437	ask|sv<-thr	9	0.0222222	0	0	0.04	1569.8	0.0378788	59.462
flow_base_thrP95__20251221_1437	bid|sv<-thr	17	0.0235294	0	0	0.12	5056.4	0.0235223	118.938
flow_base_thrP95__20251221_1437	bid|sv>+thr	5	0.18	0	0	0.46	1040.16	0.168828	175.608
flow_base_thrP95__20251221_1507	ask|sv>+thr	24	-0.0770833	-0.62	0	0.14	6611.12	-0.0753218	-497.961
flow_base_thrP95__20251221_1507	ask|sv<-thr	7	0.0428571	0	0	0.14	1091.04	0.0329891	35.9926
flow_base_thrP95__20251221_1507	bid|sv<-thr	14	0.0285714	0	0	0.07	3878.76	0.0306794	118.998
flow_base_thrP95__20251221_1507	bid|sv>+thr	10	0.15	-0.21	0	0.8	1248.98	-0.00291494	-3.6407
flow_base_thrP95__20251221_1537	ask|sv>+thr	32	-0.0875	-0.8	0	0.5	8826.97	-0.0880868	-777.54
flow_base_thrP95__20251221_1537	ask|sv<-thr	17	-0.282353	-0.52	0	0.38	2951.5	-0.111972	-330.484
flow_base_thrP95__20251221_1537	bid|sv<-thr	27	0.135185	-0.42	0	0.34	7766.32	0.140339	1089.92
flow_base_thrP95__20251221_1537	bid|sv>+thr	23	0.256522	-0.38	0	0.8	3490.92	0.124734	435.438
